unit,citizen,sex,age,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
PER,EXT_EU27_2020,T,TOTAL,AT	0 	0 	0 	0 	380 	200 	760 	390 	0 	0 	0 	0 	0 	0 
PER,EXT_EU27_2020,T,TOTAL,BE	950 	175 	240 	880 	1310 	450 	275 	35 	100 	0 	25 	: 	45 	: 
PER,EXT_EU27_2020,T,TOTAL,BG	0 	0 	65 	20 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
PER,EXT_EU27_2020,T,TOTAL,CH	1050 	615 	1000 	1080 	665 	620 	610 	0 	0 	0 	0 	0 	: 	: 
PER,EXT_EU27_2020,T,TOTAL,CY	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	0 	: 	0 
PER,EXT_EU27_2020,T,TOTAL,CZ	0 	0 	0 	0 	0 	0 	20 	0 	0 	25 	0 	40 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,DE	6645 	1685 	4890 	3200 	3015 	1240 	510 	280 	280 	305 	145 	525 	2070 	0 
PER,EXT_EU27_2020,T,TOTAL,DK	55 	30 	0 	0 	5 	310 	450 	370 	575 	480 	475 	355 	175 	500 
PER,EXT_EU27_2020,T,TOTAL,EE	0 	0 	5 	30 	20 	10 	0 	0 	0 	0 	0 	0 	0 	0 
PER,EXT_EU27_2020,T,TOTAL,EL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
PER,EXT_EU27_2020,T,TOTAL,ES	: 	365 	810 	830 	1490 	375 	0 	125 	0 	80 	: 	: 	: 	: 
PER,EXT_EU27_2020,T,TOTAL,EU27_2020	: 	9090 	22100 	19025 	17940 	8475 	6310 	5765 	3935 	: 	: 	: 	: 	: 
PER,EXT_EU27_2020,T,TOTAL,FI	890 	660 	890 	605 	1090 	945 	1005 	1090 	675 	730 	585 	545 	725 	750 
PER,EXT_EU27_2020,T,TOTAL,FR	1935 	1340 	5600 	5565 	2620 	600 	620 	450 	90 	100 	130 	360 	520 	195 
PER,EXT_EU27_2020,T,TOTAL,HR	0 	0 	100 	110 	40 	0 	0 	0 	0 	: 	: 	: 	: 	: 
PER,EXT_EU27_2020,T,TOTAL,HU	0 	0 	0 	0 	0 	0 	5 	10 	0 	0 	0 	: 	0 	0 
PER,EXT_EU27_2020,T,TOTAL,IE	: 	195 	785 	340 	275 	355 	175 	95 	85 	50 	45 	20 	190 	100 
PER,EXT_EU27_2020,T,TOTAL,IS	35 	0 	75 	50 	45 	55 	15 	10 	0 	10 	0 	5 	0 	30 
PER,EXT_EU27_2020,T,TOTAL,IT	5295 	350 	1355 	1180 	1515 	1045 	95 	0 	0 	0 	0 	55 	160 	70 
PER,EXT_EU27_2020,T,TOTAL,LI	0 	0 	0 	0 	0 	0 	20 	5 	0 	0 	0 	: 	: 	: 
PER,EXT_EU27_2020,T,TOTAL,LT	15 	0 	0 	20 	60 	25 	5 	0 	0 	5 	0 	: 	: 	: 
PER,EXT_EU27_2020,T,TOTAL,LU	0 	15 	35 	0 	180 	50 	45 	30 	0 	0 	0 	5 	30 	: 
PER,EXT_EU27_2020,T,TOTAL,LV	0 	0 	0 	0 	40 	5 	0 	0 	0 	0 	0 	0 	0 	0 
PER,EXT_EU27_2020,T,TOTAL,MT	0 	0 	0 	0 	15 	0 	0 	0 	0 	0 	0 	0 	0 	0 
PER,EXT_EU27_2020,T,TOTAL,NL	470 	425 	1875 	1225 	2265 	695 	450 	790 	310 	430 	540 	430 	370 	695 
PER,EXT_EU27_2020,T,TOTAL,NO	3650 	1525 	2795 	2480 	2815 	3290 	2375 	1285 	955 	1230 	1270 	1095 	1390 	: 
PER,EXT_EU27_2020,T,TOTAL,PL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
PER,EXT_EU27_2020,T,TOTAL,PT	15 	220 	375 	35 	170 	10 	40 	15 	0 	15 	30 	35 	0 	10 
PER,EXT_EU27_2020,T,TOTAL,RO	75 	35 	75 	0 	45 	0 	0 	40 	0 	0 	0 	40 	0 	0 
PER,EXT_EU27_2020,T,TOTAL,SE	6420 	3590 	5005 	4950 	3410 	2155 	1850 	2045 	1820 	1680 	1620 	1790 	1890 	1865 
PER,EXT_EU27_2020,T,TOTAL,SI	0 	0 	0 	35 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
PER,EXT_EU27_2020,T,TOTAL,SK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
PER,EXT_EU27_2020,T,TOTAL,UK	: 	: 	5610 	5805 	6210 	5180 	1865 	785 	965 	1040 	455 	720 	945 	640 
